"","id","training_condition"
"1","id0001","control"
"2","id0002","training_receiver_self"
"3","id0003","training_receiver_self"
"4","id0004","training_receiver_self"
"5","id0005","control"
"6","id0006","training_receiver_self"
"7","id0007","training_receiver_self"
"8","id0008","control"
"9","id0009","control"
"10","id0010","control"
"11","id0011","control"
"12","id0012","control"
"13","id0013","control"
"14","id0014","control"
"15","id0015","training_receiver_self"
"16","id0016","training_receiver_self"
"17","id0017","training_receiver_self"
"18","id0018","control"
"19","id0019","training_receiver_self"
"20","id0020","control"
"21","id0021","control"
"22","id0022","control"
"23","id0023","control"
"24","id0024","control"
"25","id0025","control"
"26","id0026","control"
"27","id0027","control"
"28","id0028","control"
"29","id0029","control"
"30","id0030","control"
"31","id0031","training_receiver_self"
"32","id0032","control"
"33","id0033","training_receiver_self"
"34","id0034","control"
"35","id0035","training_receiver_self"
"36","id0036","control"
"37","id0037","training_receiver_self"
"38","id0038","training_receiver_self"
"39","id0039","training_receiver_self"
"40","id0040","control"
"41","id0041","control"
"42","id0042","control"
"43","id0043","training_receiver_self"
"44","id0043","training_receiver_self"
"45","id0043","control"
"46","id0044","control"
"47","id0045","training_receiver_self"
"48","id0046","training_receiver_self"
"49","id0047","control"
"50","id0048","control"
"51","id0049","control"
"52","id0050","control"
"53","id0051","training_receiver_self"
"54","id0052","training_receiver_self"
"55","id0053","control"
"56","id0054","control"
"57","id0055","training_receiver_self"
"58","id0056","control"
"59","id0057","control"
"60","id0058","training_receiver_self"
"61","id0059","training_receiver_self"
"62","id0060","control"
"63","id0061","control"
"64","id0062","control"
"65","id0063","training_receiver_self"
"66","id0064","control"
"67","id0065","control"
"68","id0066","control"
"69","id0067","training_receiver_self"
"70","id0068","control"
"71","id0069","control"
"72","id0070","control"
"73","id0071","control"
"74","id0072","control"
"75","id0073","control"
"76","id0074","training_receiver_self"
"77","id0075","control"
"78","id0076","control"
"79","id0077","training_receiver_self"
"80","id0078","training_receiver_self"
"81","id0079","control"
"82","id0080","control"
"83","id0081","training_receiver_self"
"84","id0082","control"
"85","id0083","control"
"86","id0084","training_receiver_self"
"87","id0085","control"
"88","id0086","control"
"89","id0087","training_receiver_self"
"90","id0088","training_receiver_self"
"91","id0089","control"
"92","id0090","control"
"93","id0091","training_receiver_self"
"94","id0092","control"
"95","id0093","training_receiver_self"
"96","id0094","control"
"97","id0095","control"
"98","id0096","training_receiver_self"
"99","id0097","control"
"100","id0098","training_receiver_self"
"101","id0099","control"
"102","id0100","control"
"103","id0101","control"
"104","id0102","training_receiver_self"
"105","id0103","training_receiver_self"
"106","id0104","control"
"107","id0105","training_receiver_self"
"108","id0106","training_receiver_self"
"109","id0107","control"
"110","id0108","control"
"111","id0109","training_receiver_self"
"112","id0110","control"
"113","id0111","training_receiver_self"
"114","id0112","control"
"115","id0113","training_receiver_self"
"116","id0114","training_receiver_self"
"117","id0115","training_receiver_self"
"118","id0116","training_receiver_self"
"119","id0117","control"
"120","id0118","training_receiver_self"
"121","id0119","control"
"122","id0120","training_receiver_self"
"123","id0121","training_receiver_self"
"124","id0122","control"
"125","id0123","training_receiver_self"
"126","id0124","training_receiver_self"
"127","id0125","control"
"128","id0126","training_receiver_self"
"129","id0127","control"
"130","id0128","training_receiver_self"
"131","id0129","control"
"132","id0130","control"
"133","id0131","training_receiver_self"
"134","id0132","control"
"135","id0133","training_receiver_self"
"136","id0134","control"
"137","id0135","training_receiver_self"
"138","id0136","training_receiver_self"
"139","id0137","control"
"140","id0138","control"
"141","id0139","control"
"142","id0140","control"
"143","id0141","control"
"144","id0142","training_receiver_self"
"145","id0143","training_receiver_self"
"146","id0144","training_receiver_self"
"147","id0145","control"
"148","id0146","training_receiver_self"
"149","id0147","control"
"150","id0148","control"
"151","id0149","control"
"152","id0150","training_receiver_self"
"153","id0151","training_receiver_self"
"154","id0152","control"
"155","id0153","training_receiver_self"
"156","id0154","control"
"157","id0155","control"
"158","id0156","training_receiver_self"
"159","id0157","control"
"160","id0158","training_receiver_self"
"161","id0159","training_receiver_self"
"162","id0160","control"
"163","id0161","control"
"164","id0162","training_receiver_self"
"165","id0163","control"
"166","id0164","training_receiver_self"
"167","id0165","training_receiver_self"
"168","id0166","control"
"169","id0167","control"
"170","id0168","training_receiver_self"
"171","id0169","training_receiver_self"
"172","id0170","training_receiver_self"
"173","id0171","training_receiver_self"
"174","id0172","training_receiver_self"
"175","id0173","control"
"176","id0174","control"
"177","id0175","training_receiver_self"
"178","id0176","training_receiver_self"
"179","id0177","control"
"180","id0178","training_receiver_self"
"181","id0179","training_receiver_self"
"182","id0180","control"
"183","id0181","training_receiver_self"
"184","id0182","control"
"185","id0183","training_receiver_self"
"186","id0184","training_receiver_self"
"187","id0185","training_receiver_self"
"188","id0186","control"
"189","id0187","control"
"190","id0188","training_receiver_self"
"191","id0189","control"
"192","id0190","training_receiver_self"
"193","id0191","control"
"194","id0192","control"
"195","id0193","training_receiver_self"
"196","id0194","control"
"197","id0195","training_receiver_self"
"198","id0196","control"
"199","id0197","control"
"200","id0198","training_receiver_self"
"201","id0199","control"
"202","id0200","control"
"203","id0201","control"
"204","id0202","training_receiver_self"
"205","id0203","control"
"206","id0204","control"
"207","id0205","training_receiver_self"
"208","id0206","control"
"209","id0207","training_receiver_self"
"210","id0208","training_receiver_self"
"211","id0209","control"
"212","id0210","control"
"213","id0211","control"
"214","id0212","training_receiver_self"
"215","id0213","control"
"216","id0214","control"
"217","id0215","training_receiver_self"
"218","id0216","training_receiver_self"
"219","id0217","control"
"220","id0218","training_receiver_self"
"221","id0219","control"
"222","id0220","training_receiver_self"
"223","id0221","training_receiver_self"
"224","id0222","control"
